status_type,num_reactions,num_comments,num_shares,num_loves,cluster
video,309.0,444.0,36.0,42.0,1
photo,77.0,11.000000000000002,3.0,2.0,0
video,119.0,72.0,28.0,16.0,1
photo,100.00000000000001,21.0,13.0,5.0,0
video,240.0,255.0,111.00000000000001,44.0,1
video,164.0,136.0,48.0,15.0,1
video,202.0,327.0,42.0,30.0,1
video,211.0,284.0,46.0,25.0,1
video,148.0,114.00000000000001,16.0,10.0,1
video,97.00000000000001,81.0,16.0,13.0,1
video,279.0,292.0,34.0,20.0,1
photo,263.0,8.0,0.0,14.0,0
video,177.0,193.0,34.0,25.0,1
photo,517.0,32.0,1.0,26.0,0
video,289.0,258.0,33.0,33.0,1
photo,66.0,13.0,0.0,1.0,0
photo,112.0,6.0,0.0,8.0,0
video,206.0,259.0,48.0,22.0,1
video,362.0,467.99999999999994,86.0,56.0,1
video,183.99999999999997,130.0,51.0,23.0,1
video,216.0,251.0,34.0,16.0,1
video,57.0,0.0,0.0,1.0,1
video,272.0,258.0,43.0,44.0,1
video,248.0,247.0,34.0,33.0,1
video,132.0,89.00000000000001,40.0,20.0,1
video,226.0,341.0,41.0,30.0,1
video,35.0,1.0,0.0,0.0,1
video,219.0,316.0,36.0,46.0,1
video,93.99999999999999,1.0,1.0,0.0,1
video,259.0,367.99999999999994,50.0,25.0,1
video,62.0,1.0,0.0,0.0,1
video,127.0,76.0,21.0,13.0,1
video,149.0,63.0,15.0,15.0,1
video,134.0,171.0,41.0,18.0,1
video,392.00000000000006,460.99999999999994,47.0,32.0,1
video,310.0,540.0,41.0,26.0,1
photo,14.0,3.0,0.0,2.0,0
photo,293.0,6.0,1.0,15.0,0
photo,236.0,12.0,0.0,8.0,0
photo,312.0,10.0,0.0,18.0,0
photo,24.000000000000004,12.0,0.0,0.0,0
link,16.0,9.0,0.0,1.0,0
photo,33.0,12.0,0.0,1.0,0
photo,675.0,10.0,0.0,29.0,0
photo,736.9999999999999,18.0,0.0,31.0,0
photo,572.0,16.0,0.0,16.0,0
photo,22.999999999999996,7.0,0.0,3.0,0
photo,266.0,25.0,0.0,11.0,0
video,377.99999999999994,512.0,30.0,27.0,1
video,421.0,709.0000000000001,30.0,45.0,1
video,1492.9999999999998,1979.0,753.0,139.0,1
photo,76.0,17.0,0.0,0.0,0
photo,36.0,11.000000000000002,0.0,2.0,0
photo,19.0,8.0,0.0,0.0,0
photo,27.0,10.0,0.0,0.0,0
photo,117.0,2.0,53.0,9.0,0
photo,146.0,1.0,0.0,1.0,0
photo,166.0,0.0,13.0,7.0,0
photo,189.99999999999997,0.0,31.0,0.0,0
photo,217.0,16.0,0.0,4.0,0
photo,458.0,14.0,0.0,3.0,0
photo,553.0,15.0,0.0,12.0,0
photo,203.0,18.0,11.0,7.0,0
photo,1005.0,25.0,1.0,16.0,0
video,202.0,145.0,23.0,19.0,1
photo,428.0,14.0,0.0,4.0,0
photo,479.0,17.0,0.0,10.0,0
video,212.0,115.99999999999999,11.0,10.0,1
video,225.0,157.0,17.0,14.0,1
video,171.0,45.99999999999999,5.0,12.0,1
video,247.0,120.0,16.0,14.0,1
video,269.0,453.00000000000006,39.0,26.0,1
video,258.0,486.0,32.0,23.0,1
photo,109.0,2.0,1.0,5.0,0
photo,97.00000000000001,5.0,0.0,0.0,0
video,280.0,199.0,25.0,24.0,1
video,325.0,77.0,21.0,30.0,1
photo,51.0,11.000000000000002,0.0,0.0,0
video,280.0,825.0,47.0,35.0,1
video,688.0,0.0,0.0,34.0,1
video,365.0,805.0,46.0,39.0,1
photo,295.0,5.0,0.0,0.0,0
photo,27.0,14.0,0.0,1.0,0
photo,15.0,11.000000000000002,0.0,0.0,0
photo,16.0,12.0,0.0,0.0,0
photo,29.0,12.0,0.0,0.0,0
video,28.0,6.0,0.0,0.0,1
photo,8.0,8.0,0.0,0.0,0
photo,10.0,9.0,0.0,0.0,0
photo,39.0,8.0,0.0,0.0,0
photo,49.00000000000001,11.000000000000002,0.0,2.0,0
video,226.0,449.0,37.0,25.0,1
video,104.0,49.0,13.0,12.0,1
photo,251.0,17.0,0.0,7.0,0
video,244.0,589.0,48.0,29.0,1
video,252.0,558.0,41.0,45.0,1
video,121.0,15.0,4.0,4.0,1
photo,321.0,5.0,0.0,11.0,0
photo,103.0,8.0,3.0,4.0,0
video,136.0,31.0,16.0,14.0,1
video,337.0,247.0,27.0,35.0,1
photo,648.0,13.0,0.0,18.0,0
video,175.0,157.0,14.0,18.0,1
video,339.0,424.0,36.0,38.0,1
photo,341.0,3.0,0.0,8.0,0
video,177.0,131.0,27.0,27.0,1
photo,201.0,0.0,0.0,4.0,0
photo,43.0,7.0,0.0,2.0,0
photo,40.0,7.0,0.0,1.0,0
photo,58.0,14.0,0.0,1.0,0
video,403.0,525.0,42.0,36.0,1
photo,148.0,4.0,3.0,4.0,0
photo,150.0,24.0,2.0,6.0,0
photo,53.0,12.0,0.0,0.0,0
status,144.0,15.0,8.0,4.0,0
video,298.0,491.0,46.0,34.0,1
photo,171.0,4.0,1.0,5.0,0
photo,4410.0,633.0,257.0,73.0,0
video,373.99999999999994,588.0,46.0,47.0,1
photo,181.0,20.0,0.0,1.0,0
photo,267.0,20.0,1.0,8.0,0
photo,60.0,7.0,0.0,1.0,0
photo,98.00000000000001,22.999999999999996,5.0,2.0,0
video,26.0,7.0,0.0,0.0,1
photo,255.0,18.0,0.0,11.0,0
photo,174.0,6.0,1.0,5.0,0
photo,64.0,5.0,1.0,5.0,0
photo,62.0,3.0,0.0,4.0,0
video,192.00000000000003,417.0,40.0,22.0,1
photo,110.0,18.0,6.0,0.0,0
photo,119.0,12.0,7.0,2.0,0
photo,42.0,11.000000000000002,0.0,0.0,0
video,234.0,355.00000000000006,34.0,52.0,1
photo,54.0,10.0,0.0,1.0,0
photo,82.0,8.0,0.0,1.0,0
photo,18.0,8.0,0.0,0.0,0
photo,147.0,17.0,7.0,5.0,0
photo,80.0,8.0,0.0,1.0,0
video,299.0,564.0,42.0,34.0,1
photo,629.0,11.000000000000002,1.0,18.0,0
photo,69.0,2.0,0.0,2.0,0
video,219.0,110.0,17.0,26.0,1
photo,30.0,2.0,0.0,3.0,0
photo,65.0,1.0,0.0,2.0,0
photo,161.0,7.0,0.0,8.0,0
video,398.00000000000006,605.0,30.0,44.0,1
photo,46.99999999999999,7.0,0.0,0.0,0
photo,182.0,3.0,4.0,5.0,0
video,317.0,158.0,32.0,47.0,1
video,571.0,888.0,107.0,107.0,1
photo,16.0,10.0,0.0,1.0,0
photo,30.0,9.0,0.0,0.0,0
photo,57.0,7.0,0.0,0.0,0
photo,74.0,6.0,3.0,0.0,0
video,367.99999999999994,911.0000000000001,50.0,50.0,1
photo,19.0,3.0,0.0,0.0,0
photo,176.0,3.0,0.0,0.0,0
photo,133.0,7.0,0.0,0.0,0
photo,162.0,6.0,2.0,3.0,0
video,734.0,996.0,73.0,116.0,1
status,42.0,16.0,9.0,1.0,0
status,33.0,6.0,3.0,2.0,0
video,29.0,6.0,1.0,0.0,1
photo,43.0,6.0,0.0,1.0,0
photo,14.0,6.0,0.0,1.0,0
video,475.0,574.0,48.0,63.0,1
photo,50.00000000000001,8.0,2.0,1.0,0
photo,93.99999999999999,22.999999999999996,6.0,0.0,0
video,303.0,34.0,3.0,11.0,1
photo,168.0,7.0,1.0,1.0,0
photo,248.0,14.0,0.0,7.0,0
photo,422.0,6.0,0.0,8.0,0
photo,188.99999999999997,3.0,0.0,2.0,0
photo,390.00000000000006,17.0,2.0,5.0,0
photo,618.0,28.0,0.0,14.0,0
photo,190.99999999999997,2.0,2.0,2.0,0
video,321.0,1381.0,67.0,44.0,1
photo,364.0,7.0,2.0,15.0,0
photo,51.0,10.0,0.0,0.0,0
video,282.0,524.0,38.0,34.0,1
photo,368.99999999999994,14.0,1.0,7.0,0
photo,138.0,16.0,6.0,4.0,0
photo,96.00000000000001,9.0,1.0,1.0,0
photo,185.99999999999997,11.000000000000002,0.0,1.0,0
photo,487.0,15.0,0.0,14.0,0
video,282.0,19.0,4.0,20.0,1
photo,382.99999999999994,8.0,1.0,13.0,0
photo,216.0,0.0,1.0,5.0,0
photo,48.00000000000001,0.0,0.0,2.0,0
video,885.0,461.99999999999994,26.0,220.0,1
photo,184.99999999999997,11.000000000000002,1.0,10.0,0
photo,259.0,1.0,1.0,7.0,0
photo,299.0,9.0,0.0,8.0,0
photo,199.00000000000003,9.0,1.0,13.0,0
photo,717.0,40.0,1.0,30.0,0
photo,155.0,2.0,0.0,5.0,0
photo,293.0,8.0,0.0,11.0,0
photo,243.0,6.0,0.0,5.0,0
photo,264.0,2.0,0.0,2.0,0
photo,313.0,3.0,0.0,7.0,0
photo,208.0,1.0,0.0,7.0,0
photo,216.0,0.0,0.0,6.0,0
photo,247.0,6.0,0.0,9.0,0
photo,152.0,1.0,0.0,5.0,0
photo,387.00000000000006,3.0,0.0,16.0,0
photo,178.0,9.0,0.0,6.0,0
photo,218.0,4.0,0.0,5.0,0
photo,270.0,3.0,0.0,10.0,0
photo,351.0,4.0,1.0,6.0,0
photo,232.0,0.0,2.0,8.0,0
photo,252.0,3.0,0.0,4.0,0
photo,122.0,0.0,0.0,8.0,0
photo,209.0,4.0,0.0,9.0,0
photo,305.0,5.0,1.0,10.0,0
photo,71.0,10.0,2.0,1.0,0
photo,290.0,12.0,0.0,13.0,0
photo,67.0,6.0,3.0,0.0,0
photo,783.0000000000001,11.000000000000002,0.0,30.0,0
photo,77.0,2.0,0.0,1.0,0
video,22.0,0.0,0.0,0.0,1
photo,103.0,0.0,0.0,2.0,0
video,32.0,0.0,2.0,0.0,1
photo,239.0,5.0,2.0,8.0,0
photo,111.0,6.0,0.0,1.0,0
video,51.0,0.0,1.0,0.0,1
video,34.0,4.0,0.0,0.0,1
link,15.0,0.0,0.0,0.0,0
video,75.0,0.0,5.0,0.0,1
photo,177.0,2.0,0.0,2.0,0
photo,520.0,8.0,0.0,13.0,0
photo,134.0,2.0,0.0,2.0,0
photo,228.0,1.0,1.0,7.0,0
video,498.0,254.0,17.0,77.0,1
photo,166.0,5.0,2.0,7.0,0
video,272.0,265.0,20.0,44.0,1
photo,127.0,7.0,1.0,2.0,0
photo,30.0,0.0,0.0,0.0,0
link,33.0,1.0,1.0,0.0,0
photo,252.0,5.0,0.0,9.0,0
photo,287.0,0.0,0.0,0.0,0
photo,264.0,8.0,3.0,5.0,0
photo,152.0,5.0,1.0,3.0,0
photo,61.0,5.0,0.0,3.0,0
video,172.0,7.0,7.0,6.0,1
video,616.0,523.0,21.0,125.0,1
photo,187.99999999999997,0.0,0.0,4.0,0
video,593.0,309.0,23.0,99.0,1
photo,188.99999999999997,2.0,0.0,5.0,0
photo,178.0,5.0,0.0,3.0,0
photo,318.0,7.0,0.0,4.0,0
photo,362.0,9.0,0.0,7.0,0
photo,48.00000000000001,6.0,0.0,0.0,0
photo,248.0,1.0,0.0,3.0,0
photo,520.0,2.0,0.0,11.0,0
photo,97.00000000000001,8.0,2.0,3.0,0
photo,400.00000000000006,16.0,0.0,6.0,0
photo,218.0,0.0,0.0,6.0,0
photo,77.0,13.0,4.0,0.0,0
photo,204.0,4.0,0.0,3.0,0
photo,405.0,6.0,0.0,6.0,0
photo,210.0,0.0,0.0,6.0,0
photo,214.0,1.0,0.0,5.0,0
photo,373.99999999999994,4.0,0.0,7.0,0
photo,457.0,3.0,0.0,10.0,0
photo,215.0,0.0,0.0,8.0,0
video,7.0,5.0,0.0,0.0,1
photo,38.0,6.0,3.0,0.0,0
photo,168.0,1.0,0.0,0.0,0
photo,277.0,0.0,0.0,2.0,0
photo,196.00000000000003,1.0,0.0,6.0,0
photo,100.00000000000001,3.0,0.0,1.0,0
photo,85.0,4.0,0.0,4.0,0
photo,34.0,10.0,6.0,0.0,0
photo,41.0,9.0,0.0,1.0,0
photo,22.999999999999996,5.0,1.0,1.0,0
video,217.0,24.0,5.0,10.0,1
photo,161.0,9.0,2.0,3.0,0
photo,279.0,0.0,0.0,3.0,0
photo,97.00000000000001,9.0,3.0,2.0,0
photo,489.0,3.0,0.0,6.0,0
photo,245.0,4.0,0.0,3.0,0
photo,270.0,5.0,0.0,2.0,0
photo,166.0,11.000000000000002,1.0,1.0,0
video,121.0,18.0,3.0,11.0,1
photo,33.0,9.0,1.0,0.0,0
photo,72.0,1.0,0.0,0.0,0
photo,174.0,0.0,0.0,1.0,0
photo,192.00000000000003,0.0,0.0,3.0,0
video,286.0,61.0,5.0,30.0,1
photo,231.0,0.0,0.0,0.0,0
photo,138.0,1.0,0.0,2.0,0
photo,104.0,6.0,1.0,2.0,0
photo,91.0,10.0,4.0,0.0,0
photo,682.0,22.000000000000004,0.0,12.0,0
video,1379.0,769.0,69.0,234.0,1
photo,629.0,16.0,1.0,16.0,0
video,58.0,4.0,3.0,0.0,1
photo,272.0,9.0,0.0,2.0,0
photo,213.0,2.0,2.0,6.0,0
photo,225.0,2.0,0.0,5.0,0
photo,463.0,48.0,2.0,8.0,0
photo,285.0,7.0,0.0,8.0,0
photo,526.0,18.0,0.0,12.0,0
photo,418.0,4.0,0.0,9.0,0
photo,515.0,10.0,0.0,9.0,0
photo,376.99999999999994,5.0,0.0,10.0,0
photo,1186.0,37.0,1.0,19.0,0
video,591.0,560.0,49.0,84.0,1
photo,424.0,8.0,1.0,13.0,0
photo,119.0,16.0,0.0,0.0,0
photo,67.0,9.0,0.0,1.0,0
photo,439.0,10.0,3.0,15.0,0
status,1043.0,116.99999999999999,24.0,58.0,1
photo,690.0,10.0,0.0,21.0,0
status,84.0,7.0,1.0,0.0,0
photo,491.0,16.0,0.0,11.0,0
photo,63.0,1.0,0.0,0.0,0
link,45.99999999999999,3.0,1.0,0.0,0
photo,320.0,17.0,0.0,9.0,0
video,51.0,8.0,6.0,0.0,1
photo,85.0,9.0,2.0,2.0,0
photo,99.00000000000001,13.0,0.0,1.0,0
photo,213.0,13.0,1.0,1.0,0
photo,156.0,12.0,0.0,2.0,0
video,204.0,128.0,4.0,17.0,1
photo,246.0,8.0,0.0,3.0,0
photo,225.0,2.0,0.0,6.0,0
video,256.0,427.0,30.0,62.0,1
photo,146.0,1.0,0.0,2.0,0
photo,212.0,0.0,1.0,5.0,0
photo,229.0,3.0,0.0,4.0,0
photo,66.0,2.0,0.0,1.0,0
photo,158.0,0.0,0.0,1.0,0
photo,301.0,7.0,0.0,6.0,0
video,88.0,1.0,0.0,1.0,1
video,148.0,54.0,2.0,18.0,1
photo,398.00000000000006,11.000000000000002,0.0,4.0,0
photo,89.0,4.0,0.0,3.0,0
photo,151.0,0.0,0.0,3.0,0
photo,155.0,5.0,0.0,2.0,0
video,109.0,13.0,0.0,5.0,1
video,117.0,16.0,0.0,11.0,1
video,112.0,7.0,0.0,11.0,1
photo,132.0,3.0,0.0,5.0,0
photo,149.0,3.0,0.0,5.0,0
photo,274.0,9.0,0.0,11.0,0
video,195.00000000000003,95.0,5.0,30.0,1
video,138.0,25.0,2.0,11.0,1
video,627.0,266.0,8.0,105.0,1
photo,289.0,22.999999999999996,0.0,7.0,0
photo,209.0,10.0,0.0,4.0,0
video,162.0,75.0,6.0,16.0,1
photo,265.0,11.000000000000002,0.0,6.0,0
photo,301.0,10.0,0.0,6.0,0
photo,213.0,5.0,0.0,4.0,0
photo,210.0,3.0,0.0,4.0,0
photo,408.0,11.000000000000002,0.0,9.0,0
photo,223.0,6.0,0.0,7.0,0
photo,359.0,4.0,0.0,5.0,0
photo,535.0,2.0,0.0,27.0,0
photo,362.0,10.0,0.0,8.0,0
video,266.0,165.0,10.0,42.0,1
photo,156.0,2.0,0.0,5.0,0
video,110.0,21.0,0.0,6.0,1
video,446.0,6148.0,120.0,80.0,1
status,102.0,1.0,0.0,0.0,0
photo,161.0,6.0,0.0,3.0,0
photo,279.0,8.0,0.0,6.0,0
photo,288.0,6.0,0.0,5.0,0
photo,230.0,8.0,0.0,8.0,0
photo,271.0,12.0,0.0,6.0,0
photo,113.0,2.0,1.0,3.0,0
video,256.0,103.0,16.0,47.0,1
photo,306.0,4.0,0.0,3.0,0
photo,566.0,10.0,0.0,4.0,0
photo,185.99999999999997,1.0,1.0,0.0,0
video,135.0,9.0,2.0,10.0,1
video,174.0,195.0,3.0,18.0,1
video,171.0,84.0,4.0,10.0,1
photo,372.99999999999994,8.0,0.0,5.0,0
photo,403.0,5.0,0.0,8.0,0
photo,139.0,14.0,0.0,1.0,0
photo,148.0,16.0,5.0,1.0,0
photo,270.0,8.0,0.0,4.0,0
photo,343.0,8.0,0.0,7.0,0
photo,254.0,5.0,0.0,2.0,0
photo,304.0,9.0,6.0,5.0,0
photo,437.0,6.0,0.0,4.0,0
photo,412.0,4.0,2.0,13.0,0
photo,183.0,11.000000000000002,0.0,6.0,0
photo,353.0,8.0,2.0,9.0,0
photo,144.0,14.0,1.0,2.0,0
photo,905.0,10.0,5.0,21.0,0
video,151.0,19.0,2.0,18.0,1
photo,276.0,4.0,0.0,8.0,0
photo,227.0,3.0,4.0,8.0,0
video,340.0,1201.0,47.0,55.0,1
photo,478.0,12.0,0.0,11.0,0
photo,188.99999999999997,22.000000000000004,2.0,3.0,0
photo,211.0,7.0,0.0,4.0,0
photo,296.0,2.0,0.0,3.0,0
video,113.0,15.0,1.0,9.0,1
photo,113.0,2.0,0.0,4.0,0
video,133.0,19.0,2.0,13.0,1
photo,223.0,3.0,0.0,5.0,0
photo,322.0,8.0,1.0,8.0,0
photo,235.0,3.0,0.0,4.0,0
photo,163.0,1.0,0.0,3.0,0
photo,372.99999999999994,4.0,3.0,5.0,0
video,249.0,147.0,8.0,50.0,1
photo,129.0,2.0,0.0,5.0,0
photo,245.0,7.0,0.0,6.0,0
photo,272.0,9.0,0.0,6.0,0
video,239.0,127.0,7.0,47.0,1
photo,135.0,9.0,1.0,3.0,0
photo,333.0,44.00000000000001,0.0,6.0,0
photo,96.00000000000001,3.0,0.0,2.0,0
photo,210.0,7.0,0.0,7.0,0
video,154.0,72.0,6.0,24.0,1
photo,192.00000000000003,8.0,0.0,3.0,0
photo,152.0,2.0,0.0,1.0,0
photo,222.0,3.0,0.0,6.0,0
photo,227.0,1.0,0.0,2.0,0
photo,542.0,21.0,1.0,11.0,0
video,279.0,274.0,15.0,42.0,1
photo,263.0,8.0,0.0,3.0,0
video,358.0,5498.0,94.0,57.0,1
video,65.0,4.0,1.0,0.0,1
photo,189.99999999999997,11.000000000000002,1.0,5.0,0
photo,320.0,4.0,1.0,10.0,0
photo,266.0,8.0,0.0,9.0,0
video,452.0,19013.0,161.0,92.0,1
status,123.0,22.999999999999996,0.0,0.0,0
video,543.0,4661.0,178.0,136.0,1
photo,278.0,8.0,0.0,9.0,0
video,445.0,432.0,27.0,124.0,1
photo,196.00000000000003,7.0,8.0,2.0,0
video,607.0,383.0,52.0,159.0,1
photo,180.0,4.0,0.0,12.0,0
photo,236.0,8.0,0.0,8.0,0
status,92.99999999999999,2.0,1.0,3.0,0
video,48.00000000000001,6.0,0.0,1.0,1
video,245.0,169.0,37.0,33.0,1
status,225.0,12.0,29.0,2.0,0
photo,133.0,4.0,2.0,5.0,0
photo,170.0,11.000000000000002,2.0,11.0,0
photo,304.0,13.0,0.0,9.0,0
photo,150.0,5.0,0.0,1.0,0
photo,387.00000000000006,8.0,0.0,9.0,0
video,564.0,20990.0,154.0,82.0,1
photo,261.0,36.0,1.0,5.0,0
photo,477.0,12.0,0.0,6.0,0
photo,154.0,19.0,7.0,1.0,0
photo,130.0,13.0,2.0,3.0,0
photo,307.0,0.0,0.0,12.0,0
photo,113.0,12.0,5.0,2.0,0
photo,77.0,4.0,2.0,0.0,0
video,38.0,4.0,0.0,0.0,1
photo,209.0,9.0,0.0,2.0,0
photo,99.00000000000001,0.0,3.0,1.0,0
video,119.0,8.0,2.0,5.0,1
photo,182.0,2.0,21.0,2.0,0
photo,155.0,1.0,4.0,4.0,0
video,86.0,0.0,0.0,4.0,1
video,124.0,0.0,0.0,4.0,1
video,221.0,1.0,0.0,0.0,1
photo,52.0,0.0,0.0,0.0,0
video,38.0,7.0,1.0,0.0,1
photo,2.0,0.0,37.0,0.0,0
photo,347.0,0.0,1.0,12.0,0
photo,99.00000000000001,0.0,30.0,2.0,0
photo,210.0,0.0,6.0,4.0,0
photo,178.0,0.0,0.0,7.0,0
photo,149.0,0.0,1.0,5.0,0
photo,77.0,0.0,1.0,0.0,0
link,169.0,0.0,57.0,2.0,0
link,237.0,0.0,0.0,2.0,0
photo,86.0,0.0,3.0,1.0,0
photo,120.0,0.0,2.0,1.0,0
photo,234.0,0.0,0.0,6.0,0
photo,280.0,0.0,1.0,3.0,0
photo,319.0,5.0,0.0,5.0,0
video,171.0,0.0,0.0,3.0,1
photo,251.0,5.0,0.0,0.0,0
video,135.0,0.0,0.0,4.0,1
photo,1.0,0.0,37.0,0.0,0
photo,1.0,0.0,1.0,0.0,0
photo,264.0,2.0,0.0,3.0,0
photo,218.0,2.0,5.0,0.0,0
photo,52.0,0.0,4.0,0.0,0
video,41.0,0.0,3.0,1.0,1
photo,67.0,0.0,1.0,1.0,0
photo,266.0,9.0,1.0,1.0,0
photo,165.0,0.0,0.0,5.0,0
video,70.0,0.0,0.0,0.0,1
photo,247.0,1.0,0.0,8.0,0
photo,378.99999999999994,0.0,0.0,3.0,0
photo,305.0,1.0,0.0,8.0,0
photo,26.0,0.0,0.0,0.0,0
photo,28.0,0.0,0.0,1.0,0
photo,37.0,0.0,0.0,2.0,0
photo,45.99999999999999,0.0,0.0,0.0,0
photo,164.0,2.0,13.0,8.0,0
photo,282.0,0.0,0.0,4.0,0
status,61.0,5.0,0.0,0.0,0
photo,68.0,3.0,0.0,0.0,0
photo,73.0,1.0,17.0,4.0,0
photo,641.0,0.0,0.0,11.0,0
photo,122.0,0.0,0.0,7.0,0
photo,654.0,1.0,50.0,32.0,0
photo,245.0,2.0,0.0,3.0,0
photo,173.0,0.0,0.0,0.0,0
photo,64.0,0.0,1.0,0.0,0
photo,495.0,9.0,226.99999999999997,42.0,0
photo,144.0,0.0,0.0,2.0,0
photo,476.0,3.0,212.0,16.0,0
photo,4.0,0.0,41.0,0.0,0
photo,48.00000000000001,0.0,1.0,1.0,0
status,77.0,1.0,38.0,1.0,0
photo,199.00000000000003,0.0,5.0,1.0,0
status,43.0,0.0,1.0,1.0,0
photo,30.0,0.0,0.0,0.0,0
photo,189.99999999999997,1.0,0.0,5.0,0
photo,96.00000000000001,0.0,5.0,0.0,0
photo,295.0,3.0,10.0,1.0,0
photo,102.0,0.0,1.0,2.0,0
photo,52.0,0.0,2.0,0.0,0
photo,71.0,0.0,5.0,0.0,0
photo,94.99999999999999,1.0,2.0,1.0,0
photo,132.0,10.0,1.0,5.0,0
video,63.0,14.0,0.0,0.0,1
photo,186.99999999999997,6.0,0.0,5.0,0
photo,124.0,2.0,0.0,3.0,0
video,296.0,80.0,5.0,44.0,1
video,268.0,45.99999999999999,0.0,32.0,1
photo,156.0,4.0,0.0,3.0,0
photo,148.0,26.0,0.0,4.0,0
photo,195.00000000000003,14.0,0.0,5.0,0
photo,229.0,7.0,0.0,5.0,0
video,111.0,4.0,0.0,6.0,1
video,169.0,34.0,1.0,17.0,1
photo,127.0,6.0,0.0,3.0,0
video,139.0,27.0,0.0,12.0,1
status,60.0,8.0,4.0,2.0,0
video,109.0,5.0,1.0,5.0,1
photo,148.0,4.0,0.0,4.0,0
link,45.99999999999999,3.0,1.0,2.0,0
video,92.99999999999999,14.0,4.0,4.0,1
photo,164.0,17.0,1.0,7.0,0
link,33.0,4.0,4.0,1.0,0
photo,153.0,19.0,1.0,3.0,0
photo,173.0,1.0,58.0,0.0,0
photo,168.0,1.0,1.0,6.0,0
video,51.0,10.0,1.0,0.0,1
photo,198.00000000000003,4.0,6.0,4.0,0
video,44.0,3.0,7.0,0.0,1
video,43.0,4.0,12.0,1.0,1
photo,105.0,3.0,3.0,3.0,0
photo,272.0,5.0,4.0,4.0,0
photo,148.0,9.0,6.0,2.0,0
photo,91.0,13.0,14.0,2.0,0
video,187.99999999999997,26.0,3.0,19.0,1
photo,60.0,3.0,0.0,1.0,0
photo,110.0,2.0,0.0,2.0,0
status,101.0,6.0,0.0,1.0,0
photo,122.0,18.0,20.0,1.0,0
photo,105.0,4.0,1.0,2.0,0
photo,56.0,1.0,0.0,1.0,0
photo,219.0,5.0,0.0,6.0,0
video,87.0,1.0,1.0,2.0,1
photo,109.0,3.0,0.0,2.0,0
photo,50.00000000000001,1.0,1.0,1.0,0
video,173.0,16.0,0.0,17.0,1
photo,101.0,1.0,0.0,1.0,0
video,105.0,8.0,2.0,7.0,1
video,89.0,4.0,1.0,5.0,1
photo,101.0,1.0,2.0,2.0,0
photo,90.0,4.0,1.0,1.0,0
video,113.0,27.0,0.0,11.0,1
photo,126.0,6.0,2.0,5.0,0
photo,441.0,31.0,2.0,13.0,0
video,302.0,186.0,3.0,50.0,1
video,184.99999999999997,40.0,2.0,12.0,1
video,155.0,33.0,0.0,16.0,1
photo,177.0,7.0,1.0,2.0,0
video,309.0,102.0,1.0,43.0,1
photo,326.0,2.0,1.0,7.0,0
photo,265.0,6.0,0.0,6.0,0
photo,199.00000000000003,8.0,1.0,4.0,0
video,226.0,93.0,3.0,20.0,1
photo,129.0,5.0,0.0,2.0,0
link,63.0,11.000000000000002,1.0,2.0,0
photo,184.99999999999997,1.0,0.0,3.0,0
video,54.0,0.0,0.0,1.0,1
photo,167.0,4.0,0.0,3.0,0
photo,53.0,3.0,0.0,2.0,0
photo,352.0,4.0,0.0,3.0,0
photo,184.99999999999997,3.0,1.0,6.0,0
